Old Import,New Import
com.mojang.blaze3d.vertex.VertexFormat.Mode,com.mojang.blaze3d.vertex.VertexFormat$Mode
com.mojang.brigadier.CommandDispatcher,API_CHANGED
com.mojang.brigadier.StringReader,API_CHANGED
com.mojang.brigadier.arguments.ArgumentType,API_CHANGED
com.mojang.brigadier.arguments.StringArgumentType,API_CHANGED
com.mojang.brigadier.context.CommandContext,API_CHANGED
com.mojang.brigadier.exceptions.CommandSyntaxException,API_CHANGED
com.mojang.brigadier.exceptions.Dynamic2CommandExceptionType,API_CHANGED
com.mojang.brigadier.exceptions.DynamicCommandExceptionType,API_CHANGED
com.mojang.brigadier.suggestion.SuggestionProvider,API_CHANGED
com.mojang.brigadier.suggestion.Suggestions,API_CHANGED
com.mojang.brigadier.suggestion.SuggestionsBuilder,API_CHANGED
com.mojang.datafixers.types.templates.List,API_CHANGED
com.mojang.datafixers.util.Pair,API_CHANGED
com.mojang.serialization.Codec,API_CHANGED
com.mojang.serialization.DataResult,API_CHANGED
com.mojang.serialization.Dynamic,net.minecraft.world.item.component.ResolvableProfile$Dynamic
com.mojang.serialization.JsonOps,API_CHANGED
com.mojang.serialization.MapCodec,API_CHANGED
com.mojang.serialization.codecs.RecordCodecBuilder,API_CHANGED
net.minecraft.advancements.criterion.InventoryChangeTrigger.TriggerInstance,net.minecraft.advancements.criterion.AnyBlockInteractionTrigger$TriggerInstance
net.minecraft.client.animation.AnimationChannel.Targets,net.minecraft.client.animation.AnimationChannel$Targets
net.minecraft.client.animation.AnimationDefinition.Builder,com.mojang.blaze3d.pipeline.RenderPipeline$Builder
net.minecraft.client.gui.Font.DisplayMode,net.minecraft.client.gui.Font$DisplayMode
net.minecraft.client.model.HumanoidModel.ArmPose,net.minecraft.client.model.HumanoidModel$ArmPose
net.minecraft.client.renderer.entity.EntityRendererProvider.Context,com.mojang.blaze3d.preprocessor.GlslPreprocessor$Context
net.minecraft.commands.arguments.EntityAnchorArgument.Anchor,net.minecraft.commands.arguments.EntityAnchorArgument$Anchor
net.minecraft.core.BlockPos.MutableBlockPos,net.minecraft.core.BlockPos$MutableBlockPos
net.minecraft.core.Direction.Axis,com.mojang.math.Axis
net.minecraft.core.HolderLookup.Provider,net.minecraft.client.data.models.model.TexturedModel$Provider
net.minecraft.data.PackOutput.Target,net.minecraft.world.level.pathfinder.Target
net.minecraft.network.syncher.SynchedEntityData.Builder,com.mojang.blaze3d.pipeline.RenderPipeline$Builder
net.minecraft.network.syncher.SynchedEntityData.DataItem,net.minecraft.network.syncher.SynchedEntityData$DataItem
net.minecraft.server.packs.repository.Pack.Position,net.minecraft.core.Position
net.minecraft.world.entity.Entity.RemovalReason,net.minecraft.client.resources.server.ServerPackManager$RemovalReason
net.minecraft.world.entity.ai.attributes.AttributeModifier.Operation,net.minecraft.client.renderer.block.dispatch.multipart.CombinedCondition$Operation
net.minecraft.world.entity.player.Player.BedSleepingProblem,net.minecraft.world.entity.player.Player$BedSleepingProblem
net.minecraft.world.item.Item.Properties,net.minecraft.client.renderer.item.ClientItem$Properties
net.minecraft.world.level.ClipContext.Block,net.minecraft.world.level.block.Block
net.minecraft.world.level.block.state.StateDefinition.Builder,com.mojang.blaze3d.pipeline.RenderPipeline$Builder
net.minecraft.world.level.storage.loot.LootContext.EntityTarget,net.minecraft.world.level.storage.loot.LootContext$EntityTarget
net.minecraft.world.level.storage.loot.LootTable.Builder,com.mojang.blaze3d.pipeline.RenderPipeline$Builder
net.neoforged.api.distmarker.Dist,API_CHANGED
net.neoforged.api.distmarker.OnlyIn,API_CHANGED
net.neoforged.bus.api.IEventBus,API_CHANGED
net.neoforged.bus.api.SubscribeEvent,API_CHANGED
net.neoforged.fml.ModList,API_CHANGED
net.neoforged.fml.ModLoader,API_CHANGED
net.neoforged.fml.ModLoadingContext,API_CHANGED
net.neoforged.fml.common.Mod,API_CHANGED
net.neoforged.fml.config.ModConfig,API_CHANGED
net.neoforged.fml.event.config.ModConfigEvent,API_CHANGED
net.neoforged.fml.event.lifecycle.FMLClientSetupEvent,API_CHANGED
net.neoforged.fml.event.lifecycle.FMLCommonSetupEvent,API_CHANGED
net.neoforged.fml.loading.FMLEnvironment,API_CHANGED
net.neoforged.neoforge.client.event.EntityRenderersEvent.RegisterLayerDefinitions,API_CHANGED
net.neoforged.neoforge.client.event.ViewportEvent.ComputeCameraAngles,API_CHANGED
net.neoforged.neoforge.common.ModConfigSpec.ConfigValue,API_CHANGED
net.neoforged.neoforge.event.TagsUpdatedEvent.UpdateCause,API_CHANGED
net.neoforged.neoforge.event.entity.player.PlayerEvent.PlayerLoggedInEvent,API_CHANGED
net.neoforged.neoforge.event.entity.player.PlayerEvent.PlayerLoggedOutEvent,API_CHANGED
net.neoforged.neoforge.event.entity.player.PlayerInteractEvent.RightClickBlock,API_CHANGED
